time param
0.000000 4.414242
0.112500 12.930230
0.225000 22.401046
0.337500 30.947461
0.450000 37.086316
0.562500 37.092954
0.675000 37.095212
0.787500 37.093090
0.900000 37.086590
1.012500 32.815228
1.125000 27.677268
1.237500 23.511848
1.350000 23.207329
1.462500 23.203620
1.575000 23.201773
1.687500 23.201787
1.800000 23.203659
1.912500 23.207386
2.025000 23.212965
2.137500 25.361550
2.250000 26.332362
2.362500 26.948631
2.475000 27.151856
2.587500 27.392931
2.700000 27.399497
2.812500 27.496442
2.925000 27.502769
3.037500 27.508973
3.150000 27.539354
3.262500 27.545293
3.375000 27.556900
3.487500 27.562565
3.600000 27.573618
3.712500 27.579003
3.825000 27.584248
3.937500 27.589350
4.050000 27.594312
4.162500 27.599134
4.275000 27.603816
4.387500 27.608351
4.500000 27.612741
4.612500 27.617013
4.725000 27.621121
4.837500 27.625116
4.950000 27.629013
5.062500 27.636322
5.175000 27.640036
5.287500 27.646857
5.400000 27.653759
5.512500 27.656764
5.625000 27.663236
5.737500 27.668966
5.850000 27.675133
5.962500 27.680603
6.075000 27.686251
6.187500 27.694220
6.300000 27.702162
6.412500 27.709870
6.525000 27.717580
6.637500 27.727628
6.750000 27.737760
6.862500 27.745335
6.975000 27.755540
7.087500 27.765861
7.200000 27.776368
7.312500 27.787091
7.425000 27.800820
7.537500 27.812097
7.650000 27.823680
7.762500 27.835576
7.875000 27.850830
7.987500 27.863325
8.100000 27.879273
8.212500 27.892252
8.325000 27.908696
8.437500 27.921968
8.550000 27.938634
8.662500 27.955285
8.775000 27.971835
8.887500 27.984939
9.000000 28.001088
9.112500 28.016931
9.225000 28.032406
9.337500 28.047460
9.450000 28.062042
9.562500 28.076112
9.675000 28.089636
9.787500 28.102582
9.900000 28.114922
10.012500 8.831256
10.125000 -1.102081
10.237500 -3.150944
10.350000 -3.134573
10.462500 -0.350436
10.575000 -0.211418
10.659391 -0.062729
10.749466 0.236928
10.845224 0.558382
10.927819 0.665987
11.016213 0.723771
11.097825 0.758600
11.178194 0.425468
11.257374 0.152042
11.331853 0.032735
11.403804 -0.025825
11.475186 -0.076563
11.546047 -0.106333
11.604105 -0.130686
11.668322 -0.123361
11.732743 -0.082355
11.781997 -0.028768
11.844210 0.137425
11.886680 0.415521
11.926474 0.412110
11.959956 4.205817
11.989512 3.976720
12.020869 3.472300
12.049315 1.687461
12.082468 0.105435
12.114837 2.755092
12.147324 4.259801
12.167774 2.878742
12.190551 2.261946
12.204427 2.157291
12.223096 1.990799
12.242382 22.189973
12.258405 18.169002
12.278163 5.773012
12.302653 3.892137
12.333991 0.550816
12.360789 4.836101
12.384748 23.948197
12.407698 43.958456
12.423990 26.344217
12.440721 29.783195
12.457145 12.867843
12.469077 3.760001
12.485350 -0.353216
12.503666 23.705347
12.522145 23.831232
12.536167 16.878198
12.548905 80.188793
12.561514 51.564349
12.577096 52.086370
12.586241 11.047732
12.595217 -3.370022
12.603531 -3.234718
12.613510 -0.622349
12.626458 38.582582
12.640932 30.715985
12.658496 20.517823
12.676253 7.492185
12.696551 4.485990
12.719416 2.712331
12.745232 -0.012712
12.771390 12.069886
12.795516 6.193722
12.819257 2.090097
12.843159 0.715835
12.864000 -0.059245
12.885161 12.575032
12.910459 8.901386
12.935654 3.106937
12.961715 0.103258
12.989300 0.103258
13.008932 10.093340
13.029492 5.377776
13.055853 3.441840
13.075501 3.290230
13.093743 0.114940
13.111289 7.297053
13.131829 16.680564
13.154867 25.610283
13.168950 9.674551
13.184282 8.873291
13.205689 4.124099
13.218193 4.124099
