time param
0.000000 0.000000
10.012500 18.720000
10.462500 19.530000
10.575000 16.560000
10.659391 16.830000
10.749466 16.290000
10.845224 17.280000
10.927819 14.940000
11.016213 14.760000
11.178194 12.780000
11.257374 12.240000
11.331853 12.420000
11.403804 10.440000
11.475186 9.630000
11.546047 10.170000
11.604105 8.190000
11.668322 7.830000
11.732743 7.560000
11.781997 5.490000
11.844210 6.390000
11.886680 5.670000
11.926474 5.940000
11.959956 3.330000
11.989512 4.050000
12.020869 4.410000
12.049315 4.140000
12.082468 7.020000
12.114837 2.970000
12.147324 2.250000
12.167774 2.520000
12.190551 3.600000
12.223096 6.840000
12.242382 2.610000
12.278163 2.430000
12.302653 2.610000
12.333991 4.770000
12.360789 2.250000
12.384748 1.080000
12.407698 0.990000
12.423990 1.350000
12.440721 1.530000
12.457145 2.520000
12.469077 3.690000
12.485350 4.500000
12.503666 1.530000
12.522145 1.620000
12.536167 1.260000
12.548905 0.810000
12.561514 0.630000
12.577096 1.170000
12.586241 1.620000
12.595217 2.250000
12.603531 3.150000
12.613510 5.130000
12.626458 1.980000
12.640932 1.800000
12.658496 2.070000
12.696551 2.430000
12.719416 3.150000
12.745232 6.660000
12.771390 2.610000
12.795516 2.790000
12.819257 3.600000
12.843159 4.050000
12.864000 6.210000
12.885161 2.790000
12.910459 2.250000
12.935654 3.330000
12.961715 3.870000
12.989300 5.490000
13.008932 2.790000
13.029492 1.980000
13.055853 3.150000
13.075501 3.240000
13.093743 4.500000
13.111289 5.310000
13.131829 1.800000
13.154867 2.250000
13.168950 1.710000
13.184282 2.070000
13.205689 3.960000
13.218193 4.590000
13.234622 1.530000
13.248038 1.800000
13.269224 3.060000
13.284658 2.880000
13.299081 2.700000
13.315651 3.960000
13.335607 6.210000
13.367275 3.240000
13.390951 2.250000
13.416340 3.510000
13.438419 4.410000
13.455094 2.520000
13.478354 1.710000
13.500752 2.250000
13.521589 3.330000
13.538550 3.780000
13.560236 2.430000
13.580762 2.520000
13.599755 2.610000
13.617023 2.970000
13.634939 3.510000
13.651077 4.680000
13.669631 2.250000
13.686538 1.800000
13.703981 2.250000
13.721660 3.600000
13.740675 4.320000
13.761713 7.380000
13.787571 2.160000
13.809417 2.250000
13.835585 2.610000
13.851937 3.960000
13.866066 1.980000
13.877592 1.350000
13.897440 1.710000
13.929903 2.340000
13.943476 2.610000
13.955744 3.960000
13.967876 2.070000
13.982289 1.440000
14.002047 1.890000
14.016495 1.800000
14.029391 2.160000
14.046583 3.330000
14.065993 5.040000
14.083647 2.070000
14.115432 2.160000
14.136571 3.600000
14.159445 5.310000
14.177709 2.790000
14.194257 3.420000
14.206976 2.700000
14.221417 3.240000
14.234935 3.330000
14.246037 3.420000
14.259640 5.490000
14.271188 3.600000
14.278709 3.240000
14.292150 3.150000
14.307804 4.320000
14.325433 4.680000
14.345884 4.770000
14.363560 6.660000
14.387323 2.700000
14.412990 3.330000
14.432628 4.320000
14.459007 6.660000
14.487797 1.800000
14.512174 2.610000
14.529528 2.970000
14.548489 5.400000
14.567387 2.520000
14.606863 2.340000
14.621024 2.700000
14.638359 3.780000
14.657529 1.710000
14.670556 1.800000
14.689688 1.530000
14.707127 2.250000
14.724463 4.050000
14.738286 5.490000
14.749548 3.600000
14.763404 2.160000
14.784904 1.530000
14.798093 1.800000
14.809348 2.430000
14.817957 2.970000
14.825450 4.140000
14.834577 5.850000
14.845373 3.060000
14.859598 2.880000
14.876340 2.250000
14.892304 2.790000
14.907302 3.240000
14.927936 5.760000
14.942020 2.970000
14.962879 2.520000
14.981842 1.890000
15.000237 3.060000
15.015059 3.960000
15.029327 5.760000
15.048835 2.970000
15.070751 2.610000
15.087182 2.340000
15.100183 2.970000
15.114575 4.410000
15.137274 2.970000
15.159648 2.250000
15.181319 2.070000
15.204007 4.500000
15.222424 5.220000
15.236293 2.070000
15.248236 2.430000
15.260572 2.610000
15.288272 1.890000
15.306017 3.330000
15.324283 2.340000
15.336241 1.890000
15.357178 1.800000
15.370010 1.620000
15.393138 3.150000
15.400854 4.140000
15.414256 6.750000
15.427068 1.530000
15.444153 1.800000
15.459431 1.890000
15.469099 2.610000
15.479908 2.160000
15.490180 2.700000
15.503833 3.510000
15.517073 5.310000
15.528967 2.070000
15.544793 1.800000
15.556559 2.340000
15.574574 2.610000
15.588596 2.970000
15.602390 3.690000
15.624414 2.430000
15.640809 2.070000
15.661367 1.620000
15.677758 2.250000
15.695011 3.060000
15.707396 3.870000
15.720657 5.490000
15.736685 2.700000
15.756672 2.340000
15.775500 2.070000
15.792863 2.520000
15.805990 2.970000
15.818102 4.230000
15.835463 2.970000
15.858895 3.510000
15.873395 2.790000
15.900573 3.150000
15.917529 3.600000
15.937063 2.790000
15.964413 1.710000
15.979382 2.160000
15.991633 2.520000
16.007738 3.330000
16.031780 4.410000
16.046737 2.070000
16.068201 1.800000
16.089126 2.520000
16.105886 3.780000
16.124061 4.500000
16.141701 2.520000
16.159289 2.250000
16.174696 2.880000
16.187415 2.970000
16.200491 3.330000
16.218949 4.410000
16.235083 2.790000
16.262390 2.970000
16.287349 3.330000
16.308198 4.140000
16.321965 3.780000
16.340731 2.430000
16.359764 2.340000
16.386922 3.330000
16.405940 3.780000
16.420162 4.410000
16.439015 2.970000
16.463106 2.250000
16.483669 2.520000
16.508098 4.140000
16.530969 3.780000
16.548905 1.980000
16.565967 1.260000
16.584691 1.530000
16.603177 2.700000
16.615835 4.590000
16.629447 3.690000
16.638479 1.890000
16.654269 1.440000
16.670476 1.080000
16.678873 0.900000
16.693395 1.710000
16.704367 2.070000
16.726306 3.690000
16.742844 2.520000
16.754421 1.080000
16.770937 1.170000
16.789683 1.350000
16.801056 1.620000
16.813540 1.980000
16.826151 2.160000
16.839171 3.330000
16.852461 5.040000
16.868674 1.260000
16.886896 0.810000
16.904173 1.350000
16.924075 1.890000
16.938819 2.070000
16.964371 3.870000
16.989569 2.160000
17.014037 1.980000
17.038949 2.340000
17.062627 2.160000
17.080027 2.790000
17.095680 4.770000
17.113705 1.440000
17.131729 1.530000
17.150360 1.710000
17.179091 2.070000
17.197332 3.240000
17.216360 4.320000
17.234498 2.430000
17.249849 2.160000
17.265239 1.980000
17.279690 2.070000
17.290815 1.080000
17.298727 1.260000
17.310182 1.800000
17.319199 2.160000
17.330848 2.970000
17.340336 3.780000
17.351947 4.320000
17.360807 3.510000
17.369021 1.890000
17.378709 1.620000
17.388385 1.890000
17.398049 1.710000
17.405968 1.980000
17.413888 2.700000
17.421807 2.430000
17.429726 2.250000
17.437646 1.800000
17.449531 2.160000
17.455469 2.070000
17.461405 2.340000
17.467338 2.610000
17.473268 2.700000
17.479195 3.150000
17.485119 3.690000
17.490133 4.680000
17.495145 5.310000
17.500155 5.940000
17.505164 6.480000
17.510171 6.930000
17.515176 5.670000
17.520179 4.860000
17.525181 4.680000
17.530181 4.050000
17.535180 3.420000
17.539657 3.690000
17.544133 3.510000
17.548608 3.060000
17.553082 3.150000
17.557555 3.240000
17.562026 3.060000
